Title,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Summary
Death's Door,"Jul 20, 2021","['Devolver Digital', 'Acid Nerve']",3.8,738.0,738.0,"['Adventure', 'Brawler', 'Indie', 'RPG']",Reaping souls of the dead and punching a clock might get monotonous but it's honest work for a Crow. The job gets lively when your assigned soul is stolen and you must track down a desperate thief to a realm untouched by death - where creatures grow far past their expiry and overflow with greed and power.
Devil May Cry 3: Dante's Awakening - Special Edition,"Jan 24, 2006","['Capcom', 'Capcom Production Studio 1']",4.4,852.0,852.0,"['Adventure', 'Brawler', 'Shooter']","Devil May Cry 3: Dante's Awakening - Special Edition is a re-release of Devil May Cry 3 with gameplay changes and additional content. Among them, there is the possibility to play as Vergil on a separate save file."
Assassin's Creed IV Black Flag,"Oct 29, 2013","['Ubisoft Montreal', 'Ubisoft Entertainment']",3.7,1200.0,1200.0,"['Adventure', 'Platform']","Assassin’s Creed IV Black Flag begins in 1715, when pirates established a lawless republic in the Caribbean and ruled the land and seas. These outlaws paralyzed navies, halted international trade, and plundered vast fortunes. They threatened the power structures that ruled Europe, inspired the imaginations of millions, and left a legacy that still endures."
The Legend of Zelda: Twilight Princess,"Nov 19, 2006","['Nintendo', 'Nintendo EAD Software Development Group No.3']",4.0,899.0,899.0,"['Adventure', 'RPG']","The Legend of Zelda: Twilight Princess is the last Zelda game for GameCube, it was highly anticipated by many members of the gaming community and was regarded as finally fulfilling the dreams of those who wanted a much more realistic and mature game than the ones before. The art is similar to the naturalistic style of Ocarina of Time, rather than the cel-shaded look of The Wind Waker. The main adventure takes place in several provinces with dungeons and temples. New to this game is the ability for Link to transform into a Wolf when entering the Twilight. As a wolf, Link can use his senses to solve puzzles and get past obstacles, he can also dig holes to find hearts and rupees. Twilight Princess has received universal acclaim from reviewers and journalists, who cited it as the greatest Zelda game of all time."
Crisis Core: Final Fantasy VII - Reunion,"Dec 13, 2022",['Square Enix'],3.8,409.0,409.0,['RPG'],"Crisis Core: Final Fantasy VII - Reunion is an HD remaster of the smash hit prequel to Final Fantasy VII. In addition to all graphics being remastered in HD, fully voiced dialogue and new soundtrack arrangements make for a dynamic new retelling of a beloved classic."
Metroid Prime,"Nov 17, 2002","['Nintendo', 'Retro Studios']",4.3,1400.0,1400.0,"['Adventure', 'Platform', 'Shooter']","A 3D exploration-focused metroidvania with first-person shooting mechanics and the first 3D entry in the Metroid series, Metroid Prime follows Samus Aran after the events of Metroid (1986) as she boards a Space Pirate frigate, then chases her escaping archrival Ridley into the intricately structured Tallon IV, a planet full of deadly wildlife and former home to the advanced and ancient Chozo race."
Sonic the Hedgehog 2,"Nov 21, 1992","['Sonic Team', 'Sega']",3.7,1200.0,1200.0,"['Adventure', 'Platform']","Dr. Eggman (aka Dr. Robotnik) has returned, turning helpless animals into robots and forcing them to build his ultimate weapon, the Death Egg! But this time, Sonic has a friend that can help him: Tails! Find the 7 Chaos Emeralds and stop Dr. Robotnik’s evil scheme!"
Metal Gear Solid 4: Guns of the Patriots,"Jun 12, 2008","['Kojima Productions', 'Konami']",3.9,1200.0,1200.0,"['Adventure', 'Shooter', 'Tactical']","Metal Gear Solid 4: Guns of the Patriots is the final canonical Metal Gear game to feature Solid Snake as the main character. The gameplay of the previous games have been kept along with some new features, such as the ability to roll on your back and also to hide in bins scattered around the environment. Most of the story and the relationship between the characters are explained through cut-scenes with a considerable length, so knowledge of the prior games is recommended to fully understand the story. The game also features a complex multiplayer mode entitled Metal Gear Online with some original missions based on the stealth aspects of the single-player games."
Atomic Heart,"Feb 21, 2023","['Mundfish', 'Focus Entertainment']",3.0,363.0,363.0,"['Adventure', 'RPG', 'Shooter']","Atomic Heart is an adventure first-person shooter, events of which unfolds in an alternate universe during the high noon of the Soviet Union. The principal character of the game is a special agent P-3, who after an unsuccessful landing on enterprise ""3826"" is trying to figure out what went wrong."
Minecraft,"Sep 20, 2017",['Mojang Studios'],4.2,571.0,571.0,"['Adventure', 'Simulator']","Minecraft focuses on allowing the player to explore, interact with, and modify a dynamically-generated map made of one-cubic-meter-sized blocks. In addition to blocks, the environment features plants, mobs, and items. Some activities in the game include mining for ore, fighting hostile mobs, and crafting new blocks and tools by gathering various resources found in the game. The game's open-ended model allows players to create structures, creations, and artwork on various multiplayer servers or their single-player maps. Other features include redstone circuits for logic computations and remote actions, minecarts and tracks, and a mysterious underworld called the Nether. A designated but completely optional goal of the game is to travel to a dimension called the End, and defeat the ender dragon."
Resident Evil 5,"Mar 05, 2009",['Capcom'],3.1,1000.0,1000.0,"['Adventure', 'Shooter']","Resident Evil 5 is the seventh video game in the Resident Evil series. It features similar gameplay to Resident Evil 4 utilizing the same over the shoulder view, but this time the environment plays a significant role. The player is now dependent on his partner more than in older games. When the partner's health bar drop down to 0, he will enter the dying stage where the health bar will flash red and gradually lower as he stays like this. Resident Evil 5 also features new types of enemies called Majini and mostly are of African descent."
The World Ends with You,"Jul 26, 2007","['Square Enix', 'Ubisoft Entertainment']",4.2,1000.0,1000.0,"['Arcade', 'RPG']","In the game, Neku Sakuraba and his allies are forced to participate in a game that will determine their fate. The battle system uses many of the unique features of the Nintendo DS, including combat that takes place on both screens, and attacks performed by certain motions on the touchscreen or by shouting into the microphone. Elements of Japanese youth culture, such as fashion, food, and cell phones, are key aspects of the missions."
A Hat in Time,"Oct 05, 2017","['Humble Bundle', 'Gears for Breakfast']",4.0,898.0,898.0,"['Adventure', 'Indie', 'Platform']",A Hat in Time is a cute-as-heck 3D platformer featuring a little girl who stitches hats for wicked powers! Freely explore giant worlds and recover Time Pieces to travel to new heights!
Scorn,"Oct 14, 2022","['Ebb Software', 'Kepler Interactive']",3.0,348.0,348.0,"['Adventure', 'Indie', 'Puzzle']","Scorn is an atmospheric first person horror adventure game set in a nightmarish universe of odd forms and somber tapestry. It is designed around an idea of ""being thrown into the world"". Isolated and lost inside this dream-like world you will explore different interconnected regions in a non-linear fashion. The unsettling environment is a character itself. Every location contains its own theme (story), puzzles and characters that are integral in creating a cohesive lived in world. Throughout the game you will open up new areas, acquire different skill sets, weapons, various items and try to comprehend the sights presented to you."
Fire Emblem: Awakening,"Apr 19, 2012","['Intelligent Systems Co., Ltd.', 'Nintendo']",3.8,1200.0,1200.0,"['Adventure', 'RPG', 'Strategy']","Armies clash as the world burns. As an inevitable war draws ever closer, you must stand with Chrom and his forces--knights, mages, archers, and more--commanding them against the armies of kingdoms, empires, and the dead themselves.
             

              Plan your strategery. Move your troops on the battlefield, then choose their weapon and attack. Using the new Pair Up and Dual systems, support your attacks with the help of nearby allies and watch their skills and relationships grow."
Cuphead: The Delicious Last Course,"Jun 30, 2022",['Studio MDHR'],4.3,398.0,398.0,"['Adventure', 'Indie', 'Platform']","In Cuphead: The Delicious Last Course, Cuphead and Mugman are joined by Ms. Chalice for a DLC add-on adventure on a brand new island! With new weapons, new charms, and Ms. Chalice's brand new abilities, take on a new cast of multi-faceted, screen-filling bosses to assist Chef Saltbaker in Cuphead's final challenging quest."
Ori and the Will of the Wisps,"Mar 10, 2020","['Moon Studios', 'Xbox Game Studios']",4.3,1200.0,1200.0,"['Adventure', 'Platform']","The little spirit Ori is no stranger to peril, but when a fateful flight puts the owlet Ku in harm’s way, it will take more than bravery to bring a family back together, heal a broken land, and discover Ori’s true destiny. From the creators of the acclaimed action-platformer Ori and the Blind Forest comes the highly anticipated sequel. Embark on an all-new adventure in a vast world filled with new friends and foes that come to life in stunning, hand-painted artwork. Set to a fully orchestrated original score, Ori and the Will of the Wisps continues the Moon Studios tradition of tightly crafted platforming action and deeply emotional storytelling."
Mass Effect,"Nov 20, 2007","['BioWare', 'Microsoft Game Studios']",3.8,1000.0,1000.0,"['RPG', 'Shooter']","What starts as a routine mission to an agrarian outpost quickly becomes the opening salvo in an epic war. As the newly appointed Executive Officer of the SSV Normandy, you'll assemble and lead an elite squad of heroes into battle after heart-pounding battle. Each decision you make will impact not only your fate, but the destiny of the entire galaxy in the Mass Effect trilogy.
             

              Key Features:
             

              Incredible, interactive storytelling. Create and customize your own character, from Commander Shepard's appearance and skills to a personalized arsenal. Unleash devastating abilities as you command and train. Your decisions will control the outcome of each mission, your relationships with your crew and ultimately the entire war.
             

              An amazing universe to explore. From the massive Citadel to the harsh, radioactive landscape of the Krogan home world – the incredible breadth of the Mass Effect universe will blow you away. Travel to the farthest outposts aboard the SSV Normandy, the most technologically advanced ship in the galaxy. You'll follow the clues left by ancient civilizations, discover hidden bases with fantastic new tech and lead your hand-picked crew into explosive alien battles.
             

              Edge-of-your-seat excitement meets strategic combat. Find the perfect combination of squad-mates and weapons for each battle if you want to lead them to victory. Sun-Tzu's advice remains as pertinent in 2183 as it is today – know your enemy. You'll need different tactics for a squad of enemies with devastating biotic attacks than a heavily armored Geth Colossus so choose your teams wisely."
Return of the Obra Dinn,"Oct 18, 2018","['3909', 'Lucas Pope']",4.3,1000.0,1000.0,"['Adventure', 'Indie', 'Puzzle']","In this 1-bit first-person mystery game, a merchant ship called the Obra Dinn has appeared at a London harbor, years after being declared lost at sea. As an insurance adjuster, the player must examine the ship for clues."
Kingdom Hearts III,"Jan 25, 2019","['Square Enix', 'Disney Interactive Studios']",3.5,1100.0,1100.0,"['Adventure', 'Brawler', 'RPG']","Kingdom Hearts III is the third main installment in the Kingdom Hearts series developed and published by Square Enix. It was initially released January 2019 for the PlayStation 4 and the Xbox One. An expansion, Kingdom Hearts III Re Mind was released in January 2020.
             

              The story takes place after the events of Kingdom Hearts 3D: Dream Drop Distance. It features an older Sora as the main protagonist, who sets forth on a new adventure to search for seven guardians of light in an attempt to stop Xehanort from bringing about a second Keyblade War. Sora is joined by Donald Duck, Goofy, Mickey Mouse, Riku, Kairi, and others. Along the way, Sora travels to many worlds from Disney and Pixar intellectual properties, and cross paths with the real Organization XIII.
             

              Kingdom Hearts III features hack and slash combat reminiscent of Kingdom Hearts II, with elements from later handheld entries, allowing the player to control Sora in a party with Donald, Goofy, and up to two other Disney characters from the various worlds he visits. A major addition compared is the Formchange mechanic, which allows his currently equipped Keyblade to grant him special abilities and change shape. Sora can equip up to three Keyblades at a time, and cycle between them to use his abilities. Another addition is the Attractions mechanic, which occasionally allows Sora to summon and pilot a vehicle inspired by Disney theme park attractions. At certain points throughout the game, the player will be able to control other characters."
Fallout 3,"Oct 28, 2008","['ZeniMax Media', 'Bethesda Game Studios']",3.4,894.0,894.0,"['RPG', 'Shooter']","Fallout 3 from the creators of the award-winning Oblivion, featuring one of the most realized game worlds ever created. Create any kind of character you want and explore the open wastes of post-apocalyptic Washington D.C. Every minute is a fight for survival as you encounter Super Mutants, Ghouls, Raiders and other dangers of the Wasteland. Prepare for the future.
             

              The third game in the Fallout series, Fallout 3 is a singleplayer action role-playing game (RPG) set in a post-apocalyptic Washington DC. Combining the horrific insanity of the Cold War era theory of mutually assured destruction gone terribly wrong, with the kitschy naivety of American 1950s nuclear propaganda, Fallout 3 will satisfy both players familiar with the popular first two games in its series as well as those coming to the franchise for the first time."
Uncharted: Drake's Fortune,"Nov 16, 2007","['Naughty Dog', 'Sony Computer Entertainment, Inc. (SCEI)']",3.1,882.0,882.0,"['Adventure', 'Platform', 'Shooter']","A 400-year-old clue in the coffin of Sir Francis Drake sets a modern-day fortune hunter on an exploration for the fabled treasure of El Dorado, leading to the discovery of a forgotten island in the middle of the Pacific Ocean.
             

              The search turns deadly when Nathan Drake becomes stranded on the island and hunted by mercenaries. Outnumbered and outgunned, Drake and his companions must fight to survive as they begin to unravel the terrible secrets hidden on the Island."
"Zero Escape: Nine Hours, Nine Persons, Nine Doors","Dec 10, 2009","['Chunsoft', 'Spike']",4.2,949.0,949.0,"['Adventure', 'Point-and-Click', 'Puzzle', 'Visual Novel']","The first game in the Zero Escape series, originally made as a standalone title ""Nine Hours, Nine Persons, Nine Doors"". The Zero Escape rebranding and alternative cover of the game were released around the time of the Sequel ""Zero Escape: Virtue's Last Reward"".
             

              The game is a murder mystery visual novel with a heavy story focus that requires multiple playthroughs to figure out and involves puzzle rooms used to progress through the story with dialogue choices to be made inbetween them.
             

              The iOS version of the game removed the puzzle rooms to focus more on the visual novel aspects of the game. The puzzle rooms are replaced with narration of the events that take place instead. The iOS version of the game also has an exclusive ending."
Lost Judgment,"Sep 24, 2021","['Ryū Ga Gotoku Studios', 'Sega']",4.3,790.0,790.0,"['Adventure', 'Brawler', 'RPG']","Lost Judgment once again puts players in the sneakers of lawyer turned street-fighting detective Takayuki Yagami. Joined by his partner, ex-yakuza Masaharu Kaito, the crime-fighting duo is called on to investigate a seemingly perfect crime whose lead suspect has an airtight alibi. What starts out as a tale of revenge reveals a tangled web of conspiracy involving several unlikely factions taking advantage of a broken law system. But as victims pile up and Yagami unravels the truth, he must choose between defending the law or exacting justice."
Super Mario 3D Land,"Nov 03, 2011","['Nintendo EAD', 'Nintendo']",3.5,1000.0,1000.0,['Platform'],"Super Mario 3D Land is the second 3D Super Mario platformer for a handheld device, and the successor to Super Mario Galaxy 2. The game is closely based on side-scrolling Mario games, as it combine elements from both traditional 2D Mario games and modern free-roaming 3D Mario games. It also introduces elements into the series, including power-ups and gameplay mechanics."
Gris,"Dec 13, 2018","['Nomada Studio', 'Devolver Digital']",3.6,911.0,911.0,"['Adventure', 'Indie', 'Platform', 'Puzzle']","Gris is a hopeful young girl lost in her own world, dealing with a painful experience in her life. Her journey through sorrow is manifested in her dress, which grants new abilities to better navigate her faded reality. As the story unfolds, Gris will grow emotionally and see her world in a different way, revealing new paths to explore using her new abilities.
             

              Gris is a serene and evocative experience, free of danger, frustration or death. Players will explore a meticulously designed world brought to life with delicate art, detailed animation, and an elegant original score. Through the game light puzzles, platforming sequences, and optional skill-based challenges will reveal themselves as more of Gris’s world becomes accessible."
Silent Hill 3,"May 23, 2003","['Konami', 'Team Silent']",4.2,1100.0,1100.0,"['Adventure', 'Puzzle']","Silent Hill 3 is the third installment in the Silent Hill survival horror series and a direct sequel to the first game, although this is kept secret from the player for plot twist purposes. Like the previous entries, Silent Hill 3 is a survival horror combining action-based combat and puzzle-solving, but is somewhat more combat-oriented than the preceding installments. The main character is able to side-step and block some attacks, but in general shares with the other protagonists of the series their relative ineptitude in combat."
Call of Duty: Modern Warfare 2,"Nov 10, 2009","['Infinity Ward', 'Activision']",3.8,1000.0,1000.0,['Shooter'],"Call of Duty: Modern Warfare 2 is a first-person shooter video game developed by Infinity Ward and published by Activision for the Xbox 360 and PlayStation 3 video game consoles and the Microsoft Windows operating system. Officially announced on February 11, 2009, the game was released worldwide on November 10, 2009. It is the sixth installment of the Call of Duty series and the direct sequel to Call of Duty 4: Modern Warfare, continuing the same storyline, with Call of Duty: Modern Warfare 3 set to end the storyline."
The Walking Dead: Season One,"Apr 24, 2012","['Telltale Games', 'Sony Computer Entertainment']",4.0,1200.0,1200.0,"['Adventure', 'Point-and-Click']","The Walking Dead: Season One (also known as The Walking Dead: The Game) is an episodic interactive drama graphic adventure video game developed and published by Telltale Games. Based on Robert Kirkman's The Walking Dead comic book series, the game consists of five episodes, released between April and November 2012. It is available for Android, iOS, Kindle Fire HDX, Microsoft Windows, Mac OS X, PlayStation 3, PlayStation Vita, Xbox 360, PlayStation 4 and Xbox One. The game is the first of The Walking Dead video game series published by Telltale."
Mario Kart DS,"Nov 14, 2005",['Nintendo EAD Group No. 1'],3.8,857.0,857.0,['Racing'],"Mario Kart DS is the continuation of the long running racing game series that began on the Super Nintendo. It features 16 new tracks as well as 16 tracks from the previous 4 games, with each set split up into the Nitro and Retro Grand Prix respectively. Eight racers are initially available, each with two go-karts to choose from. A number of characters and additional karts are also available to unlock. New items have been added to the arsenal, including a Blooper squid that squirts ink onto the screens of other players and a Bullet Bill power up that transforms the player into a giant, fast-travelling bullet on autopilot."
Apex Legends,"Feb 04, 2019","['Respawn Entertainment', 'Electronic Arts']",3.1,624.0,624.0,['Shooter'],"Conquer with character in Apex Legends, a free-to-play Hero shooter where legendary characters with powerful abilities team up to battle for fame & fortune on the fringes of the Frontier.
             

              Master an ever-growing roster of diverse Legends, deep tactical squad play and bold new innovations that go beyond the Battle Royale experience—all within a rugged world where anything goes. Welcome to the next evolution of Hero Shooter."
Devil May Cry 2,"Jan 25, 2003","['Capcom', 'Capcom Production Studio 1']",1.6,620.0,620.0,"['Adventure', 'Brawler']","Devil May Cry 2 is the sequel to Devil May Cry. From the start of the game, the player controls Dante or his new partner Lucia through various levels as they battle waves of demons. This game features an Amulet system, with different parts being acquired throughout the levels that can be equipped by accessing the pause menu. The different parts of the amulet can be equipped to change aspects of the characters Devil Triggers form like elemental moves, time stop abilities, faster movement, flight abilities, etc."
The Legend of Zelda: Ocarina of Time 3D,"Jun 16, 2011","['Grezzo', 'Nintendo']",4.2,1000.0,1000.0,"['Adventure', 'Puzzle', 'RPG']","The Legend of Zelda: Ocarina of Time 3D is a remake of Ocarina of Time with more up-to-date graphics, streamlined UI and different additional game modes. Most textures are significantly more detailed, and many models are more faithful to the game's concept and promotional art. In addition, the frame rate has been increased to 30 FPS compared to the original's 20 FPS."
Twelve Minutes,"Aug 19, 2021","['Annapurna Interactive', 'Luis Antonio']",2.4,526.0,526.0,"['Adventure', 'Indie', 'Point-and-Click', 'Puzzle']","Twelve Minutes is a real-time top-down interactive thriller with an accessible click and drag interface. Featuring James McAvoy, Daisy Ridley, and Willem Dafoe. The game blends the dream-like tension of The Shining with the claustrophobia of Rear Window and the fragmented structure of Memento."
Demon's Souls,"Feb 05, 2009","['FromSoftware', 'Atlus']",4.1,1200.0,1200.0,"['Adventure', 'RPG']","A third-person action RPG with cooperative and competitive multiplayer elements in which the player enters the kingdom of Boletaria as it is being ravaged by a fog that spawns murderous demons. The player has to hunt down the arch demons situated in five disparate areas within the kingdom and partake in punishing combat to reach the Old One, the vengeful being that brought the fog to Boletaria."
Persona 3 Portable,"Nov 01, 2009","['Atlus', 'Atlus USA']",4.0,825.0,825.0,"['Adventure', 'RPG', 'Strategy', 'Visual Novel']","Persona 3 Portable is an enhanced remake of Persona 3 for the PlayStation Portable. The game features an option to play as a female character, which alters some aspects of the story. In addition to the new playable character, there are two new difficulty levels to select from alongside the original game's three. The game also features some other story related changes regardless of the player character gender. The battle system is also updated to be closer that of Persona 4."
Rayman Legends,"Aug 30, 2013","['Ubisoft Montpellier', 'Ubisoft Entertainment']",4.0,921.0,921.0,"['Adventure', 'Platform']","The Glade of Dreams is in trouble once again! The nightmares multiplied and spread, creating new monsters even more terrifying than before!"
Uncharted 2: Among Thieves,"Oct 13, 2009","['Naughty Dog', 'Sony Computer Entertainment']",3.9,1400.0,1400.0,"['Adventure', 'Platform', 'Shooter']","In the sequel to Drake's Fortune, Nathan Drake comes across a map that showcases the location of Marco Polo's missing ships. It takes him on a journey to find the infamous Cintamani Stone, and uncover the truth behind it."
Monster Hunter: World,"Jan 26, 2018",['Capcom'],3.8,856.0,856.0,"['Adventure', 'RPG']","Welcome to a new world! Take on the role of a hunter and slay ferocious monsters in a living, breathing ecosystem where you can use the landscape and its diverse inhabitants to get the upper hand. Hunt alone or in co-op with up to three other players, and use materials collected from fallen foes to craft new gear and take on even bigger, badder beasts!"
Milk inside a bag of milk inside a bag of milk,"Aug 26, 2020","['Nikita Kryukov', 'Nikita Kaf Publishing']",3.3,503.0,503.0,"['Adventure', 'Indie', 'Visual Novel']","A short story about what sort of challenges everyday little things can be. Help the girl buy milk, be the first not to disappoint her."
The Legend of Zelda: A Link Between Worlds,"Nov 22, 2013","['Nintendo', 'Nintendo EAD Software Development Group No.3']",4.1,1300.0,1300.0,"['Adventure', 'Puzzle', 'RPG']","The Legend of Zelda: A Link Between Worlds is the first Zelda game made exclusively for the Nintendo 3DS. It is an indirect sequel to A Link to the Past with the same version of Hyrule but with new characters and gameplay elements. Unlike the series' tradition, many areas of the world are accessible from the beginning of the game and the dungeons can be visited in any order. Puzzles are encountered not only in dungeons but also in the open world, a part of them revolves around the game's 3D visual effect. The 3DS touch-screen display shows the world, dungeon or map depending on where you are."
Final Fantasy XIV: Endwalker,"Dec 07, 2021",['Square Enix'],4.6,426.0,426.0,"['Adventure', 'RPG']","Final Fantasy XIV: Endwalker is the fourth expansion pack to Final Fantasy XIV. The story has been marketed as the ""finale"" of the Hydaelyn–Zodiark arc, drawing the current ongoing story to a close. In addition to adding new areas, the expansion pack increases the level cap to 90 and debuts two new character classes, Sage and Reaper."
The Legend of Zelda: The Minish Cap,"Nov 04, 2004","['Nintendo', 'Capcom Production Studio 1']",3.9,1100.0,1100.0,"['Adventure', 'RPG']","The Legend of Zelda: The Minish Cap is a top-down action adventure game that tells the origins of the evil Vaati from Four Swords. Like most other titles in the series, The Minish Cap features the fully explorable land of Hyrule, although it can be viewed from the eyes of a human or the eyes of a Minish, a race of tiny people and an alternate form that Link can transform into. Unlike the multiplayer focus of the other games in the series, The Minish Cap retains the original form of exploration and dungeons as seen in A Link to the Past, Oracle of Seasons, and Oracle of Ages, as well as returning characters and game mechanics such as Malon and the Spin Attack. New features include fusing Kinstones and shrinking to the size of a Minish."
Pokémon Go,"Jul 06, 2016","['The Pokémon Company', 'Niantic Labs']",2.7,400.0,400.0,"['RPG', 'Simulator']","Travel between the real world and the virtual world of Pokémon with Pokémon Go for iPhone and Android devices! With Pokémon Go, you'll discover Pokémon in a whole new world, your own! Join Trainers across the globe who are discovering Pokémon as they explore the world around them."
Night in the Woods,"Feb 21, 2017","['Finji', 'Infinite Fall']",4.0,1100.0,1100.0,"['Adventure', 'Indie', 'Platform']","Night In The Woods is an adventure game heavily focused on story, characters and exploration, with some platforming to get around town. Mae's a cat so the roofs and ledges and powerlines are all her playground, and she's not the only one up there by a long shot. You'll also be doing various activities and interacting with the world in different ways, getting to know the townspeople, hanging out with friends, exploring Possum Springs inside and out, and venturing into the surrounding areas."
Shin Megami Tensei IV,"May 23, 2013","['Atlus', 'Nintendo']",4.1,949.0,949.0,['RPG'],"Building on the styles of ATLUS' Persona, Devil Summoner, and Devil Survivor titles, SMTIV is the first true successor to 2004's Shin Megami Tensei: Nocturne. The story of SMTIV revolves around the Samurai, the sacred protectors of the Eastern Kingdom of Mikado. As a newly appointed Samurai, players will struggle with factions that have nefarious designs on the world as they defend their home kingdom from a growing army of demons. Decisions players make throughout the course of the story will have lasting repercussions, as the fate of the world hangs in the balance."
Kingdom Hearts II,"Dec 22, 2005","['Buena Vista Games', 'Square Enix']",4.3,1200.0,1200.0,"['Adventure', 'RPG']","Kingdom Hearts II is an action role-playing game, and the primary entry to the series since the 2002 Disney Interactive and Square collaboration. The game's setting is a collection of various levels (referred to in-game as ""worlds"") that the player progresses through. As in the first game, it II allows the player to travel to locales from various Disney works, along with original worlds specifically created for the series."
Castlevania: Aria of Sorrow,"May 06, 2003","['Konami Computer Entertainment Tokyo', 'Konami']",4.2,1000.0,1000.0,"['Adventure', 'Platform', 'RPG']","The year is 2035 and Soma Cruz is about to witness the first solar eclipse of the 21st century when he suddenly blacks out -- only to awaken inside a mysterious castle. As Soma, you must navigate the castle's labyrinths while confronting perilous monsters at every turn. But beware, you must escape before the evil consumes you!"
Halo: Reach,"Sep 14, 2010","['Bungie', 'Microsoft Game Studios']",4.0,1200.0,1200.0,['Shooter'],"Experience the story before the events of Halo: Combat Evolved as you fight to defend the planet Reach from a harrowing Covenant invasion. In this first-person shooter you can customize your own Spartan with armor and accessories to experience both a pulse-pounding campaign and addictive multiplayer mode. Reach will fall, but it won't go down without a fight."
Grand Theft Auto: Vice City,"Oct 27, 2002","['Rockstar Games', 'Rockstar North']",3.8,1000.0,1000.0,"['Adventure', 'Arcade', 'Racing', 'Shooter']","In the year 1986, Tommy Vercetti is heavily indebted to his mafia superiors after a drug deal gone awry, but his dreams of taking over Vice City (based on Miami) push him down a different path. Featuring a wide variety of vehicles and weapons, radio stations playing hit songs from the era and an intense atmosphere, GTA: Vice City is an open-world sandbox satire of '80's Miami."
A Short Hike,"Jul 30, 2019","['adamgryu', 'Whippoorwill']",4.1,1100.0,1100.0,"['Adventure', 'Indie', 'Platform']","Hike, climb, and soar through the peaceful mountainside landscapes of Hawk Peak Provincial Park as you make your way to the summit."
Ori and the Blind Forest,"Mar 11, 2015","['Moon Studios', 'Microsoft Studios']",3.9,780.0,780.0,"['Adventure', 'Platform', 'Puzzle']","The forest of Nibel is dying. After a powerful storm sets a series of devastating events in motion, an unlikely hero must journey to find his courage and confront a dark nemesis to save his home. Ori and the Blind Forest tells the tale of a young orphan destined for heroics, through a visually stunning action-platformer crafted by Moon Studios for Xbox One and PC. Featuring hand-painted artwork, meticulously animated character performance, and a fully orchestrated score, Ori and the Blind Forest explores a deeply emotional story about love and sacrifice, and the hope that exists in us all."
Demon's Souls,"Nov 12, 2020","['Bluepoint Games', 'Sony Interactive Entertainment']",3.9,880.0,880.0,"['Adventure', 'RPG']","Entirely rebuilt from the ground up and masterfully enhanced, Demon's Souls is a remake of the 2009 release that introduces the horrors of a fog-laden, dark fantasy land to a whole new generation of gamers. Those who’ve faced its trials and tribulations before, can once again challenge the darkness in stunning visual quality with incredible performance. The remake features improved graphics and animations, sound and lighting tweaks and a reimagining of many of the visual, musical and mechanical aspects of the original game."
A Plague Tale: Innocence,"May 14, 2019","['Focus Entertainment', 'Asobo Studio']",3.7,852.0,852.0,"['Adventure', 'RPG']","A Plague Tale: Innocence, on PlayStation 4, Xbox One and PC, tells the grim story of two siblings fighting together for survival in the darkest hours of History. This new video game from Asobo Studio sends you on an emotional journey through the 14th century France, with gameplay combining adventure, action and stealth, supported by a compelling story. Follow the young Amicia and her little brother Hugo, who face the brutality of a ravaged world as they discover their purpose to expose a dark secret. On the run from the Inquisition's soldiers, surrounded by unstoppable swarms of rats incarnating the Black Death, Amicia and Hugo will learn to know and trust each other as they struggle for their lives against all odds."
The Legend of Zelda: Link's Awakening,"Sep 20, 2019","['Nintendo', 'Grezzo']",3.9,1100.0,1100.0,['Adventure'],"The Legend of Zelda: Link's Awakening is a remake of the 1993 game of the same name. Besides the complete graphical and sound overhaul, its gameplay controls have been changed to incorporate the additional buttons the Switch holds as opposed to the 2-button choice of the Game Boy. The overworld map is far more detailed and specific locations can now be marked to be returned to on a later occasion. Additional heart-pieces can also be won, extending the heart meter to a total of 20 instead of the 14 hearts of the original."
Assassin's Creed,"Nov 13, 2007","['Ubisoft Montreal', 'Ubisoft Entertainment']",2.9,801.0,801.0,"['Adventure', 'Platform']","Assassin's Creed is a non-linear action-adventure video game, during which the player controls a 12th-century Levantine Assassin named Altaïr Ibn-La'Ahad during the Third Crusade, whose life is experienced through the Animus by his 21st century descendant, Desmond Miles."
The Legend of Zelda: Tears of the Kingdom,"May 12, 2023","['Nintendo', 'Nintendo EPD Production Group No. 3']",,581.0,581.0,"['Adventure', 'RPG']",The Legend of Zelda: Tears of the Kingdom is the sequel to The Legend of Zelda: Breath of the Wild. The setting for Link’s adventure has been expanded to include the skies above the vast lands of Hyrule.
Assassin's Creed III,"Oct 30, 2012","['Ubisoft Entertainment', 'Ubisoft Montreal']",3.0,707.0,707.0,"['Adventure', 'Strategy']","The American Colonies, 1775. A brave young warrior fights to save his homeland. But what begins as a struggle over territory turns into an extraordinary journey that will transform him into a Master Assassin—and will forever change the destiny of a nation.
             

              You are Connor, warrior son of a Native American mother and British father. As the colonies draw closer to revolution, you will dedicate your life to the freedom of your clan –becoming the spark that ignites the revolution into full blaze. Your crusade will take you through blood-soaked battlefields to crowded city streets, to perilous wilderness and beyond. You will not only witness history—you will make it.
              
              Welcome to an entirely new chapter in the Assassin’s Creed saga."
